POP_ID,WTRSHD_FID,psfstreamID,MatchType,WSD_ID_50K,StreamOrder
40593,112,5749,4,35435,5
40600,113,7872,4,35827,3
40602,113,7072,4,35827,3
40606,113,6404,4,35827,3
40608,113,5806,4,35827,3
40610,114,7882,1,35329,5
40612,114,7084,1,35329,5
40614,114,7389,1,35329,5
40614,114,7650,1,35329,5
40616,114,6421,1,35329,5
40618,114,5812,1,35329,5
40626,134,6452,4,36114,3
40632,134,7107,1,,3
40636,134,6343,1,,3
40638,134,5778,1,,3
40650,134,7909,4,,3
40652,134,7121,4,,3
40656,134,6482,4,,3
40658,134,5791,4,,3
40662,140,7053,4,36377,2
40666,140,6372,4,36377,2
40672,134,7122,4,,3
40676,134,6485,4,,3
40680,134,7911,1,,3
40682,134,7123,1,,3
40686,134,6486,1,,3
40700,120,7844,1,35606,4
40702,120,7037,1,35606,4
40704,120,7356,1,35606,4
40704,120,7628,1,35606,4
40706,120,6328,1,35606,4
40708,120,5755,1,35606,4
40710,135,7912,1,36049,3
40712,135,7124,1,36049,3
40716,135,6488,1,36049,3
40718,135,5793,1,36049,3
40722,135,7016,4,,3
40726,135,6449,4,,3
40728,135,5765,4,,3
40732,135,7103,4,,3
40736,135,6334,4,,3
40760,136,7827,1,36145,3
40762,136,7018,1,36145,3
40766,136,6453,1,36145,3
40768,136,5767,1,36145,3
40770,136,7887,4,36107,3
40772,136,7094,4,36107,3
40776,136,6433,4,36107,3
40778,136,5771,4,36107,3
40782,121,7071,1,36038,4
40786,121,6402,1,36038,4
40788,121,5805,1,36038,4
40790,122,7904,1,35829,5
40792,122,7116,1,35829,5
40794,122,7411,1,35829,5
40794,122,7603,1,35829,5
40796,122,6476,1,35829,5
40798,122,5788,1,35829,5
40800,138,7901,4,,4
40802,138,7114,4,,4
40804,138,7409,4,,4
40804,138,7601,4,,4
40806,138,6473,4,,4
40808,138,5786,4,,4
40810,138,7893,4,,4
40812,138,7106,4,,4
40814,138,7401,4,,4
40814,138,7595,4,,4
40816,138,6342,4,,4
40818,138,5777,4,,4
40820,126,7871,4,36141,3
40822,126,7070,4,36141,3
40824,126,7380,4,36141,3
40824,126,7643,4,36141,3
40826,126,6401,4,36141,3
40832,139,7102,4,36124,3
40836,139,6446,4,36124,3
40852,15655,7125,4,31849,3
40854,15655,7417,4,31849,3
40856,15655,6493,4,31849,3
40860,15646,7863,4,31124,5
40862,15646,7061,4,31124,5
40864,15646,7374,4,31124,5
40864,15646,7639,4,31124,5
40866,15646,6384,4,31124,5
40868,15646,5840,4,31124,5
40870,15647,7862,1,31229,4
40872,15647,7060,1,31229,4
40874,15647,7373,1,31229,4
40874,15647,7638,1,31229,4
40876,15647,6383,1,31229,4
40878,15647,5839,1,31229,4
40880,15656,7843,4,31714,4
40882,15656,7036,4,31714,4
40884,15656,7355,4,31714,4
40886,15656,6327,4,31714,4
40888,15656,5827,4,31714,4
40892,15656,7039,4,,4
40894,15656,7358,4,,4
40896,15656,6330,4,,4
40898,15656,5828,4,,4
40905,4489,9659,4,13862,5
40906,4489,9267,4,13862,5
40907,4489,9478,4,13862,5
40907,4489,9614,4,13862,5
40908,4489,9082,4,13862,5
40911,4580,9268,4,,3
40913,4580,9083,4,,3
40916,4490,9269,4,13569,5
40917,4490,9479,4,13569,5
40917,4490,9615,4,13569,5
40918,4490,9084,4,13569,5
40921,4491,9270,4,13406,4
40922,4491,9480,4,13406,4
40922,4491,9616,4,13406,4
40923,4491,9085,4,13406,4
40926,4492,9271,4,12604,5
40927,4492,9617,4,12604,5
40928,4492,9086,4,12604,5
40932,4582,9481,4,,3
40932,4582,9618,4,,3
40933,4582,9087,4,,3
40941,4493,9273,4,12302,5
40942,4493,9483,4,12302,5
40942,4493,9619,4,12302,5
40943,4493,9089,4,12302,5
40945,4504,9656,4,10983,5
40946,4504,9333,4,10983,5
40947,4504,9360,4,10983,5
40947,4504,9601,4,10983,5
40951,4589,9334,4,,4
40952,4589,9361,4,,4
40952,4589,9602,4,,4
40953,4589,9155,4,,4
40956,4509,9335,4,11820,5
40957,4509,9362,4,11820,5
40957,4509,9603,4,11820,5
40958,4509,9143,4,11820,5
40960,4511,9657,4,11897,5
40961,4511,9336,4,11897,5
40962,4511,9363,4,11897,5
